method,analysis,outcome,n,treated_n,treated_events,treated_risk_observed,control_n,control_events,control_risk_observed,observed_risk_difference,term,scale,estimate,ci_lower,ci_upper,p_value,treated_risk,control_risk,risk_difference,risk_difference_ci_lower,risk_difference_ci_upper
ow_dr,overall,r0,1906,476,414,0.8697478991596639,1430,1236,0.8643356643356643,0.005412234823999551,aipw_overlap,risk_ratio,1.0231683196098773,0.97526613457851,1.0734233181445774,0.3491476651486607,0.8722663493723551,0.8525150091677395,0.019751340204615664,-0.021674094955947396,0.06117677536517872
ow_dr,overall,perforation,1935,483,21,0.043478260869565216,1452,57,0.03925619834710744,0.004222062522457777,aipw_overlap,risk_ratio,0.9348552157432882,0.5192445469224427,1.683126533696595,0.822337931190595,0.04082471455272469,0.04366955852117231,-0.0028448439684476204,-0.02742319976210478,0.02173351182520954
ow_dr,overall,delayed_bleeding,1935,483,40,0.08281573498964803,1452,154,0.10606060606060606,-0.02324487107095803,aipw_overlap,risk_ratio,0.8759127843856417,0.597286766722805,1.284513986572665,0.4976182673351026,0.08328504800922121,0.0950837223681313,-0.011798674358910091,-0.045443390026621594,0.02184604130880141
