caliper_multiplier,max_year_gap,n,n_treated,n_control,n_match_groups,max_abs_smd,top_operator_treated_share,valid
0.1,,716,358,358,358,0.09498100106221097,0.38268156424581007,True
0.15,,750,375,375,375,0.08749745781998726,0.37333333333333335,True
0.2,,782,391,391,391,0.09279768379871821,0.37595907928388744,True
0.25,,812,406,406,406,0.14951813964245372,0.3793103448275862,False
0.3,,840,420,420,420,0.19895298125389996,0.38333333333333336,False
0.35,,862,431,431,431,0.22978170094715034,0.3874709976798144,False
0.4,,872,436,436,436,0.2523393950968228,0.3944954128440367,False
0.5,,904,452,452,452,0.318431776869864,0.415929203539823,False
0.6,,930,465,465,465,0.3813062032477818,0.432258064516129,False
