method_label,outcome,n,max_abs_smd,term,scale,estimate,ci_lower,ci_upper,p_value,n_match_groups
OW + DR,r0,1906,0.00018011448430360491,atract,risk_ratio,1.021671257724381,0.9459760916919522,1.1034234036435095,0.585143360946673,
PS-NN,r0,760,0.10728702078645996,atract,risk_ratio,1.0315819877884425,0.9709364816241779,1.096015463080994,0.3144876793922887,380.0
OW + DR,perforation,1935,0.00045150518159572104,atract,risk_ratio,1.0707920669382687,0.4261260745737311,2.690742761434887,0.884322605150419,
PS-NN,perforation,788,0.07630475937165158,atract,risk_ratio,0.9796228874626719,0.49639362616638727,1.9332661642980724,0.9526676011836989,394.0
OW + DR,delayed_bleeding,1935,0.00045150518159572104,atract,risk_ratio,0.8322630465567367,0.4560552011238258,1.5188112688047881,0.5496793004493037,
PS-NN,delayed_bleeding,788,0.07630475937165158,atract,risk_ratio,0.8440667663307889,0.5263979893103269,1.353441161425306,0.4816309158586941,394.0
