caliper_multiplier,max_year_gap,n,n_treated,n_control,n_match_groups,max_abs_smd,top_operator_treated_share,valid
0.1,1,714,357,357,357,0.11369298867824622,0.38375350140056025,False
0.15,1,748,374,374,374,0.09877742125719484,0.37433155080213903,True
0.2,1,780,390,390,390,0.0929339445366551,0.3769230769230769,True
0.25,1,808,404,404,404,0.1160487960926014,0.3787128712871287,False
0.3,1,834,417,417,417,0.16753852690576165,0.38369304556354916,False
0.35,1,856,428,428,428,0.1974245348938176,0.3855140186915888,False
0.4,1,864,432,432,432,0.20997938770434638,0.3888888888888889,False
0.5,1,882,441,441,441,0.23800256727699634,0.4013605442176871,False
0.6,1,892,446,446,446,0.24313089758582962,0.4080717488789238,False
