method,analysis,outcome,n,term,scale,estimate,ci_lower,ci_upper,p_value
ps_nn,overall,speed_mm2_min,782,atract,mean_difference,2.9986546485814127,0.3435461161323312,5.653763181030494,0.026858722548332183
ps_nn,small_lesion_<50mm,speed_mm2_min,372,atract,mean_difference,0.011226340507341281,-2.9221031616787725,2.944555842693455,0.9940149274323213
ps_nn,large_lesion_>=50mm,speed_mm2_min,410,atract_plus_interaction,mean_difference,5.857441818824152,1.4475482982762262,10.267335339372078,0.009231217936852554
ps_nn,interaction_large_lesion,speed_mm2_min,782,atract:large_lesion,interaction_difference,5.846215478316811,0.5285756739122203,11.163855282721402,0.031178643481826238
