method_label,outcome,n,max_abs_smd,effective_sample_size,treated_n,treated_events,treated_risk_observed,control_n,control_events,control_risk_observed,observed_risk_difference,term,scale,estimate,ci_lower,ci_upper,p_value,treated_risk,control_risk,risk_difference,risk_difference_ci_lower,risk_difference_ci_upper,n_match_groups
OW + DR,r0,1906,0.00018011448430360491,923.2950372566281,476,414,0.8697478991596639,1430,1236,0.8643356643356643,0.005412234823999551,aipw_overlap,risk_ratio,1.0231683196098773,0.97526613457851,1.0734233181445774,0.3491476651486607,0.8722663493723551,0.8525150091677395,0.019751340204615664,-0.021674094955947396,0.06117677536517872,
PS-NN,r0,760,0.10728702078645996,,380,330,0.868421052631579,380,322,0.8473684210526315,0.021052631578947434,atract,risk_ratio,1.0315819877884425,0.9709364816241779,1.096015463080994,0.3144876793922887,,,,,,380.0
OW + DR,perforation,1935,0.00045150518159572104,946.8462924998935,483,21,0.043478260869565216,1452,57,0.03925619834710744,0.004222062522457777,aipw_overlap,risk_ratio,0.9348552157432882,0.5192445469224427,1.683126533696595,0.822337931190595,0.04082471455272469,0.04366955852117231,-0.0028448439684476204,-0.02742319976210478,0.02173351182520954,
PS-NN,perforation,788,0.07630475937165158,,394,19,0.048223350253807105,394,21,0.0532994923857868,-0.005076142131979697,atract,risk_ratio,0.9796228874626719,0.49639362616638727,1.9332661642980724,0.9526676011836989,,,,,,394.0
OW + DR,delayed_bleeding,1935,0.00045150518159572104,946.8462924998935,483,40,0.08281573498964803,1452,154,0.10606060606060606,-0.02324487107095803,aipw_overlap,risk_ratio,0.8759127843856417,0.597286766722805,1.284513986572665,0.4976182673351026,0.08328504800922121,0.0950837223681313,-0.011798674358910091,-0.045443390026621594,0.02184604130880141,
PS-NN,delayed_bleeding,788,0.07630475937165158,,394,31,0.07868020304568528,394,40,0.10152284263959391,-0.02284263959390863,atract,risk_ratio,0.8440667663307889,0.5263979893103269,1.353441161425306,0.4816309158586941,,,,,,394.0
