section,method_label,outcome_label,n,estimate,ci_lower,ci_upper,p_value,scale,treated_n,treated_events,treated_risk_observed,control_n,control_events,control_risk_observed,treated_risk,control_risk,risk_difference,risk_difference_ci_lower,risk_difference_ci_upper
Speed,PS-NN,Overall speed,782,2.9986546485814127,0.3435461161323312,5.653763181030494,0.026858722548332183,mean_difference,,,,,,,,,,,
Speed,PS-NN,Speed in lesions <50 mm,372,0.011226340507341281,-2.9221031616787725,2.944555842693455,0.9940149274323213,mean_difference,,,,,,,,,,,
Speed,PS-NN,Speed in lesions ≥50 mm,410,5.857441818824152,1.4475482982762262,10.267335339372078,0.009231217936852554,mean_difference,,,,,,,,,,,
Speed,PS-NN,Interaction with lesions ≥50 mm,782,5.846215478316811,0.5285756739122203,11.163855282721402,0.031178643481826238,interaction_difference,,,,,,,,,,,
Speed,OW + DR,Overall speed,1916,0.6258481808444231,-1.6951581628897676,2.9468545245786135,0.5971491835547651,mean_difference,,,,,,,,,,,
Secondary outcomes,OW + DR,R0 resection,1906,1.0231683196098773,0.97526613457851,1.0734233181445774,0.3491476651486607,risk_ratio,476.0,414.0,0.8697478991596639,1430.0,1236.0,0.8643356643356643,0.8722663493723551,0.8525150091677395,0.019751340204615664,-0.021674094955947396,0.06117677536517872
Secondary outcomes,OW + DR,Intraprocedural perforation,1935,0.9348552157432882,0.5192445469224427,1.683126533696595,0.822337931190595,risk_ratio,483.0,21.0,0.043478260869565216,1452.0,57.0,0.03925619834710744,0.04082471455272469,0.04366955852117231,-0.0028448439684476204,-0.02742319976210478,0.02173351182520954
Secondary outcomes,OW + DR,Delayed bleeding,1935,0.8759127843856417,0.597286766722805,1.284513986572665,0.4976182673351026,risk_ratio,483.0,40.0,0.08281573498964803,1452.0,154.0,0.10606060606060606,0.08328504800922121,0.0950837223681313,-0.011798674358910091,-0.045443390026621594,0.02184604130880141
