term,raw_smd,adjusted_smd
jnet_group_jnet_i,-0.0785085350747294,0.0
jnet_group_jnet_iia,0.04971193321173025,-0.010237849523949603
jnet_group_jnet_iib,-0.014184505218541013,0.010318466963042798
lesion_morphology_lst_granular_macronodule,-0.056358416853661095,0.0783602382480843
lesion_morphology_lst_granular_no_macronodule,0.054393414057713904,0.0
lesion_morphology_lst_nongranular,0.05992190562769779,-0.07699866215986738
lesion_morphology_protruding_or_other,-0.1355690632889441,-0.01753846236868462
location_group_flexures,0.09076461540928557,-0.057214690889143625
location_group_ileocecal_valve,0.19029294452901543,-0.008393291405217145
location_group_rectum,-0.33403320365577466,-0.09279768379871821
location_group_right_colon_cecum,0.14167924706961857,0.06469778319988705
location_group_sigmoid_left_colon,-0.031515777474486674,0.05603593055091785
location_group_transverse_colon,-0.08787955293826304,0.020531457117632136
major_diameter_mm,0.2959128544376435,0.029826031130736855
mici_history,0.1073581450250244,-0.028533602945450924
operator_id_public_operator_01,0.47166744756512635,0.0
operator_id_public_operator_02,0.13573379061469115,0.0
operator_id_public_operator_03,0.010913331736049766,0.0
operator_id_public_operator_04,-0.6755568372253371,0.0
operator_id_public_operator_other,-0.3512675575812935,0.0
recurrence_history,-0.06535338101624552,-0.038136839453136576
study_year_index,0.8207078518274883,0.08493215142898317
